scheme,cost_per_ind,r,pct_of_full_r,cost_saving_pct,cost_per_unit_r,cost_note
全体高密度(全量1279标记),100.0,0.4989039266698974,100.0,0.0,200.43939254494094,"成本为假设占位值(HD=100, LD=30, 归一化)"
"全体低密度(500标记, 不填补)",30.0,0.4703352875366204,94.27371932629033,70.0,63.78428494516094,"成本为假设占位值(HD=100, LD=30, 归一化)"
30%个体低密度+KNN填补,79.0,0.47241518684344896,94.69061307990569,20.999999999999996,167.22578401396603,"成本为假设占位值(HD=100, LD=30, 归一化)"
30%个体低密度+均值填补,79.0,0.46444491550051276,93.0930567335092,20.999999999999996,170.0955212629791,"成本为假设占位值(HD=100, LD=30, 归一化)"
50%个体低密度+KNN填补,65.0,0.4784350669630677,95.89723419427544,35.0,135.85960663919647,"成本为假设占位值(HD=100, LD=30, 归一化)"
50%个体低密度+均值填补,65.0,0.4536943387582717,90.93821766178664,35.0,143.2682633376036,"成本为假设占位值(HD=100, LD=30, 归一化)"
70%个体低密度+KNN填补,51.0,0.4828334360952086,96.77884063131017,49.0,105.62648770236254,"成本为假设占位值(HD=100, LD=30, 归一化)"
70%个体低密度+均值填补,51.0,0.4701889826217805,94.24439405803348,49.0,108.46702471764283,"成本为假设占位值(HD=100, LD=30, 归一化)"
