mask_share,seed,method,geno_accuracy,geno_dosage_r,pred_r,pred_r_full_same_seed,pred_r_loss
0.3,1,col_mean,0.7488874625588361,0.565971436611845,0.4631891976182602,0.5088844800244683,0.04569528240620807
0.3,1,knn_k20,0.8517971758664955,0.750758882704517,0.4799428337032799,0.5088844800244683,0.028941646321188397
0.3,2,col_mean,0.7469333903865354,0.5635982059470973,0.4590754078405816,0.5150369415061137,0.05596153366553208
0.3,2,knn_k20,0.85022108115818,0.7465403792802494,0.4628628263191765,0.5150369415061137,0.05217411518693715
0.3,3,col_mean,0.7492369134217658,0.5639044098012969,0.47107014104269634,0.4727903584791101,0.0017202174364137623
0.3,3,knn_k20,0.850606190272429,0.7531119752918538,0.4744399005078905,0.4727903584791101,-0.0016495420287803708
0.5,1,col_mean,0.7439751818570818,0.5598692406624487,0.472528926570489,0.5088844800244683,0.036355553453979284
0.5,1,knn_k20,0.8430680359435173,0.7341656345119497,0.4988912488222077,0.5088844800244683,0.009993231202260588
0.5,2,col_mean,0.7493795464270432,0.5680218688482513,0.4730172089350783,0.5150369415061137,0.04201973257103536
0.5,2,knn_k20,0.8436285836542576,0.7396420530143388,0.49869435283231744,0.5150369415061137,0.016342588673796232
0.5,3,col_mean,0.7451048352588789,0.5606839585597374,0.4155368807692477,0.4727903584791101,0.05725347770986239
0.5,3,knn_k20,0.8421394950791613,0.7358806792667333,0.4377195992346779,0.4727903584791101,0.035070759244432204
0.7,1,col_mean,0.7454021280572057,0.561939169388014,0.4913600182595282,0.5088844800244683,0.017524461764940102
0.7,1,knn_k20,0.8349177851783542,0.7207775939347765,0.4904374305248638,0.5088844800244683,0.018447049499604462
0.7,2,col_mean,0.7435730895432305,0.560472718193683,0.45851715232682033,0.5150369415061137,0.056519789179293345
0.7,2,knn_k20,0.8321573769688205,0.719028878225056,0.4743949736382367,0.5150369415061137,0.040641967867876994
0.7,3,col_mean,0.7448598503068312,0.5573765624314497,0.460689777278993,0.4727903584791101,0.012100581200117089
0.7,3,knn_k20,0.8262535960367768,0.7093857717277862,0.4836679041225253,0.4727903584791101,-0.010877545643415198
