id,batch,generation,sex,gebv
G0_0001,G0,0,M,44.897
G0_0002,G0,0,F,23.966
G0_0003,G0,0,M,35.262
G0_0004,G0,0,F,161.854
G0_0005,G0,0,M,-41.117
G0_0006,G0,0,M,-14.416
G0_0007,G0,0,M,134.154
G0_0008,G0,0,M,-41.862
G0_0009,G0,0,F,13.7
G0_0010,G0,0,F,132.695
G0_0011,G0,0,M,-32.164
G0_0012,G0,0,F,-4.632
G0_0013,G0,0,M,-95.814
G0_0014,G0,0,M,5.424
G0_0015,G0,0,F,2.538
G0_0016,G0,0,M,-69.133
G0_0017,G0,0,M,48.722
G0_0018,G0,0,F,169.557
G0_0019,G0,0,F,151.384
G0_0020,G0,0,M,179.899
G0_0021,G0,0,F,-17.033
G0_0022,G0,0,M,37.416
G0_0023,G0,0,M,15.194
G0_0024,G0,0,F,-103.859
G0_0025,G0,0,M,-84.401
G0_0026,G0,0,F,-71.585
G0_0027,G0,0,M,-12.142
G0_0028,G0,0,M,57.682
G0_0029,G0,0,F,45.394
G0_0030,G0,0,F,23.114
G0_0031,G0,0,M,-37.766
G0_0032,G0,0,F,-86.314
G0_0033,G0,0,M,-11.28
G0_0034,G0,0,F,294.104
G0_0035,G0,0,F,-74.206
G0_0036,G0,0,M,86.167
G0_0037,G0,0,M,44.475
G0_0038,G0,0,F,-141.576
G0_0039,G0,0,M,-31.626
G0_0040,G0,0,M,-22.963
G0_0041,G0,0,F,-1.365
G0_0042,G0,0,F,-75.735
G0_0043,G0,0,M,73.074
G0_0044,G0,0,M,19.711
G0_0045,G0,0,F,9.97
G0_0046,G0,0,M,10.871
G0_0047,G0,0,F,1.993
G0_0048,G0,0,M,207.073
G0_0049,G0,0,M,12.856
G0_0050,G0,0,M,-59.283
G0_0051,G0,0,F,54.71
G0_0052,G0,0,M,-32.669
G0_0053,G0,0,F,138.83
G0_0054,G0,0,F,-12.157
G0_0055,G0,0,F,54.173
G0_0056,G0,0,F,114.887
G0_0057,G0,0,F,-161.515
G0_0058,G0,0,M,-37.049
G0_0059,G0,0,M,-74.476
G0_0060,G0,0,F,99.028
G0_0061,G0,0,F,192.126
G0_0062,G0,0,F,-34.864
G0_0063,G0,0,M,-147.913
G0_0064,G0,0,M,-101.637
G0_0065,G0,0,F,213.73
G0_0066,G0,0,M,-5.259
G0_0067,G0,0,M,19.792
G0_0068,G0,0,M,92.521
G0_0069,G0,0,M,43.355
G0_0070,G0,0,M,163.934
G0_0071,G0,0,M,50.921
G0_0072,G0,0,F,-102.12
G0_0073,G0,0,F,117.189
G0_0074,G0,0,F,31.655
G0_0075,G0,0,M,3.444
G0_0076,G0,0,M,-148.387
G0_0077,G0,0,M,-78.791
G0_0078,G0,0,F,-48.397
G0_0079,G0,0,M,-36.482
G0_0080,G0,0,F,39.499
G0_0081,G0,0,F,-22.458
G0_0082,G0,0,M,-8.497
G0_0083,G0,0,F,-8.032
G0_0084,G0,0,F,-33.52
G0_0085,G0,0,F,27.755
G0_0086,G0,0,F,99.885
G0_0087,G0,0,M,-160.136
G0_0088,G0,0,M,-198.497
G0_0089,G0,0,F,99.193
G0_0090,G0,0,F,75.984
G0_0091,G0,0,M,-76.592
G0_0092,G0,0,M,181.905
G0_0093,G0,0,F,142.191
G0_0094,G0,0,M,145.058
G0_0095,G0,0,F,40.017
G0_0096,G0,0,F,-29.92
G0_0097,G0,0,M,-132.078
G0_0098,G0,0,F,-212.433
G0_0099,G0,0,M,-77.366
G0_0100,G0,0,F,215.731
G0_0101,G0,0,F,77.348
G0_0102,G0,0,F,-89.942
G0_0103,G0,0,M,54.318
G0_0104,G0,0,F,-5.508
G0_0105,G0,0,F,-29.362
G0_0106,G0,0,F,-147.29
G0_0107,G0,0,F,-77.801
G0_0108,G0,0,F,119.212
G0_0109,G0,0,M,-14.819
G0_0110,G0,0,M,171.06
G0_0111,G0,0,F,56.617
G0_0112,G0,0,F,-157.477
G0_0113,G0,0,F,101.229
G0_0114,G0,0,M,49.575
G0_0115,G0,0,M,97.678
G0_0116,G0,0,F,158.601
G0_0117,G0,0,F,15.374
G0_0118,G0,0,F,-138.465
G0_0119,G0,0,M,-116.638
G0_0120,G0,0,M,189.252
G0_0121,G0,0,M,12.603
G0_0122,G0,0,M,34.421
G0_0123,G0,0,M,37.501
G0_0124,G0,0,F,18.093
G0_0125,G0,0,F,-68.697
G0_0126,G0,0,M,-28.629
G0_0127,G0,0,M,5.688
G0_0128,G0,0,F,-127.359
G0_0129,G0,0,M,-142.364
G0_0130,G0,0,M,-5.728
G0_0131,G0,0,F,62.077
G0_0132,G0,0,M,29.228
G0_0133,G0,0,M,-9.231
G0_0134,G0,0,M,-93.507
G0_0135,G0,0,F,86.095
G0_0136,G0,0,F,-149.286
G0_0137,G0,0,M,-254.142
G0_0138,G0,0,F,19.711
G0_0139,G0,0,M,-3.182
G0_0140,G0,0,M,61.452
G0_0141,G0,0,F,115.085
G0_0142,G0,0,F,26.761
G0_0143,G0,0,F,-4.578
G0_0144,G0,0,M,-142.181
G0_0145,G0,0,M,44.714
G0_0146,G0,0,F,12.606
G0_0147,G0,0,F,-139.512
G0_0148,G0,0,M,219.963
G0_0149,G0,0,F,-101.031
G0_0150,G0,0,M,196.634
G0_0151,G0,0,M,145.096
G0_0152,G0,0,F,-143.35
G0_0153,G0,0,M,-47.305
G0_0154,G0,0,F,-43.679
G0_0155,G0,0,M,43.373
G0_0156,G0,0,F,-65.995
G0_0157,G0,0,F,140.8
