id,batch,generation,sex,gebv
G0_0158,G0,0,F,-74.855
G0_0159,G0,0,M,1.567
G0_0160,G0,0,M,18.503
G0_0161,G0,0,F,-120.135
G0_0162,G0,0,F,13.157
G0_0163,G0,0,F,48.563
G0_0164,G0,0,F,-93.73
G0_0165,G0,0,F,-11.693
G0_0166,G0,0,M,49.936
G0_0167,G0,0,M,208.925
G0_0168,G0,0,M,-73.492
G0_0169,G0,0,F,-126.091
G0_0170,G0,0,M,52.198
G0_0171,G0,0,F,36.658
G0_0172,G0,0,M,-11.47
G0_0173,G0,0,M,-8.47
G0_0174,G0,0,F,-9.062
G0_0175,G0,0,M,-25.04
G0_0176,G0,0,M,-81.631
G0_0177,G0,0,M,-221.419
G0_0178,G0,0,M,-78.4
G0_0179,G0,0,F,-67.148
G0_0180,G0,0,F,-121.669
G0_0181,G0,0,M,331.133
G0_0182,G0,0,M,-12.574
G0_0183,G0,0,M,-71.165
G0_0184,G0,0,F,25.837
G0_0185,G0,0,M,119.996
G0_0186,G0,0,M,-28.007
G0_0187,G0,0,F,-30.356
G0_0188,G0,0,M,-181.403
G0_0189,G0,0,F,113.706
G0_0190,G0,0,F,46.013
G0_0191,G0,0,F,91.705
G0_0192,G0,0,F,-182.257
G0_0193,G0,0,M,-67.353
G0_0194,G0,0,M,-85.624
G0_0195,G0,0,F,15.925
G0_0196,G0,0,F,-46.99
G0_0197,G0,0,M,44.283
G0_0198,G0,0,M,127.15
G0_0199,G0,0,M,37.228
G0_0200,G0,0,F,-116.823
G0_0201,G0,0,F,-23.041
G0_0202,G0,0,F,69.66
G0_0203,G0,0,M,-51.41
G0_0204,G0,0,M,-85.397
G0_0205,G0,0,M,214.6
G0_0206,G0,0,M,22.485
G0_0207,G0,0,F,210.466
G0_0208,G0,0,F,-22.295
G0_0209,G0,0,F,96.84
G0_0210,G0,0,M,-31.62
G0_0211,G0,0,M,57.783
G0_0212,G0,0,F,41.927
G0_0213,G0,0,M,-18.93
G0_0214,G0,0,F,-77.414
G0_0215,G0,0,M,-23.119
G0_0216,G0,0,F,146.177
G0_0217,G0,0,M,-35.348
G0_0218,G0,0,F,-98.15
G0_0219,G0,0,F,-240.141
G0_0220,G0,0,F,-23.791
G0_0221,G0,0,M,-46.238
G0_0222,G0,0,F,-1.283
G0_0223,G0,0,F,34.027
G0_0224,G0,0,F,-47.719
G0_0225,G0,0,M,-113.359
G0_0226,G0,0,M,61.394
G0_0227,G0,0,M,57.323
G0_0228,G0,0,M,-32.791
G0_0229,G0,0,F,-184.23
G0_0230,G0,0,M,-64.466
G0_0231,G0,0,M,24.539
G0_0232,G0,0,F,-89.503
G0_0233,G0,0,M,-12.263
G0_0234,G0,0,F,38.491
G0_0235,G0,0,M,126.82
G0_0236,G0,0,M,-88.098
G0_0237,G0,0,M,54.799
G0_0238,G0,0,F,-62.557
G0_0239,G0,0,F,18.685
G0_0240,G0,0,M,97.577
G0_0241,G0,0,F,-24.382
G0_0242,G0,0,M,81.7
G0_0243,G0,0,M,-40.529
G0_0244,G0,0,M,7.742
G0_0245,G0,0,M,-132.88
G0_0246,G0,0,M,-101.048
G0_0247,G0,0,M,-141.457
G0_0248,G0,0,F,162.597
G0_0249,G0,0,M,-1.753
G0_0250,G0,0,F,-32.904
G0_0251,G0,0,F,-255.135
G0_0252,G0,0,F,-157.325
G0_0253,G0,0,M,195.994
G0_0254,G0,0,M,-43.925
G0_0255,G0,0,F,-181.858
G0_0256,G0,0,M,26.095
G0_0257,G0,0,F,-124.063
G0_0258,G0,0,F,-77.704
G0_0259,G0,0,M,46.101
G0_0260,G0,0,M,242.109
G0_0261,G0,0,F,-182.761
G0_0262,G0,0,M,-50.834
G0_0263,G0,0,F,62.321
G0_0264,G0,0,F,152.635
G0_0265,G0,0,F,-54.433
G0_0266,G0,0,F,120.438
G0_0267,G0,0,F,-14.455
G0_0268,G0,0,M,-88.673
G0_0269,G0,0,M,-0.181
G0_0270,G0,0,F,130.41
G0_0271,G0,0,M,-221.873
G0_0272,G0,0,M,113.873
G0_0273,G0,0,M,204.035
G0_0274,G0,0,F,-274.025
G0_0275,G0,0,M,105.471
G0_0276,G0,0,F,-20.215
G0_0277,G0,0,F,67.961
G0_0278,G0,0,F,30.684
G0_0279,G0,0,F,-31.0
G0_0280,G0,0,F,56.059
G0_0281,G0,0,M,54.243
G0_0282,G0,0,F,54.504
G0_0283,G0,0,M,40.168
G0_0284,G0,0,F,166.045
G0_0285,G0,0,F,66.737
G0_0286,G0,0,M,64.92
G0_0287,G0,0,M,-20.613
G0_0288,G0,0,M,1.499
G0_0289,G0,0,F,-98.112
G0_0290,G0,0,F,58.691
G0_0291,G0,0,F,-106.454
G0_0292,G0,0,F,77.459
G0_0293,G0,0,F,101.876
G0_0294,G0,0,M,96.289
G0_0295,G0,0,M,-86.514
G0_0296,G0,0,M,198.956
G0_0297,G0,0,M,13.656
G0_0298,G0,0,F,-52.929
G0_0299,G0,0,M,121.359
G0_0300,G0,0,M,45.335
G0_0301,G0,0,F,-96.969
G0_0302,G0,0,F,124.301
G0_0303,G0,0,F,-43.361
G0_0304,G0,0,M,63.617
G0_0305,G0,0,F,164.782
G0_0306,G0,0,M,-77.678
G0_0307,G0,0,F,-56.306
G0_0308,G0,0,M,162.886
G0_0309,G0,0,F,9.18
G0_0310,G0,0,M,59.878
G0_0311,G0,0,M,-158.906
G0_0312,G0,0,F,-68.016
G0_0313,G0,0,F,-197.825
G0_0314,G0,0,F,8.75
G0_0315,G0,0,M,54.248
G0_0316,G0,0,F,79.828
G0_0317,G0,0,M,59.998
G0_0318,G0,0,F,-20.928
G0_0319,G0,0,M,219.413
G0_0320,G0,0,M,-131.619
G0_0321,G0,0,M,-194.143
G0_0322,G0,0,M,-177.532
G0_0323,G0,0,F,138.398
G0_0324,G0,0,M,-32.387
G0_0325,G0,0,F,11.483
G0_0326,G0,0,F,32.1
G0_0327,G0,0,M,42.462
G0_0328,G0,0,M,-186.035
G0_0329,G0,0,F,59.182
G0_0330,G0,0,M,-209.134
G0_0331,G0,0,F,58.159
G0_0332,G0,0,M,154.371
G0_0333,G0,0,M,6.597
G0_0334,G0,0,F,-14.727
G0_0335,G0,0,M,-34.152
G0_0336,G0,0,F,0.058
G0_0337,G0,0,M,67.941
G0_0338,G0,0,M,54.258
G0_0339,G0,0,F,-127.656
G0_0340,G0,0,F,-32.218
G0_0341,G0,0,F,10.743
G0_0342,G0,0,M,80.695
G0_0343,G0,0,M,-148.663
G0_0344,G0,0,M,82.573
G0_0345,G0,0,M,132.77
G0_0346,G0,0,F,-152.647
G0_0347,G0,0,F,37.663
G0_0348,G0,0,F,-60.819
G0_0349,G0,0,F,-17.519
G0_0350,G0,0,M,204.572
G0_0351,G0,0,M,-90.455
G0_0352,G0,0,F,104.016
G0_0353,G0,0,F,-0.267
G0_0354,G0,0,M,5.622
G0_0355,G0,0,F,120.167
G0_0356,G0,0,M,-128.422
G0_0357,G0,0,M,-47.267
G0_0358,G0,0,F,-103.925
G0_0359,G0,0,M,-91.038
G0_0360,G0,0,F,38.095
G0_0361,G0,0,M,-128.06
G0_0362,G0,0,F,-61.946
G0_0363,G0,0,M,18.81
G0_0364,G0,0,F,190.842
G0_0365,G0,0,F,-24.904
G0_0366,G0,0,M,183.786
G0_0367,G0,0,F,-30.846
G0_0368,G0,0,M,166.904
G0_0369,G0,0,M,24.037
G0_0370,G0,0,F,59.268
G0_0371,G0,0,F,-99.395
G0_0372,G0,0,F,-86.511
G0_0373,G0,0,M,-78.149
G0_0374,G0,0,F,63.866
G0_0375,G0,0,F,-3.132
G0_0376,G0,0,F,-143.695
G0_0377,G0,0,F,-71.05
G0_0378,G0,0,M,39.177
G0_0379,G0,0,F,115.894
G0_0380,G0,0,F,-31.212
G0_0381,G0,0,F,68.676
G0_0382,G0,0,F,-91.431
G0_0383,G0,0,F,8.001
G0_0384,G0,0,F,97.309
G0_0385,G0,0,F,-114.48
G0_0386,G0,0,F,93.264
G0_0387,G0,0,M,30.109
G0_0388,G0,0,M,-85.33
G0_0389,G0,0,F,-111.612
G0_0390,G0,0,M,42.945
G0_0391,G0,0,F,40.165
G0_0392,G0,0,F,-11.46
G0_0393,G0,0,F,-14.845
G0_0394,G0,0,F,241.128
G0_0395,G0,0,F,-110.662
G0_0396,G0,0,F,140.799
G0_0397,G0,0,F,-27.708
G0_0398,G0,0,M,47.422
G0_0399,G0,0,M,-113.127
G0_0400,G0,0,F,-171.893
G0_0401,G0,0,M,-1.63
G0_0402,G0,0,M,9.251
G0_0403,G0,0,F,-40.645
G0_0404,G0,0,F,-194.385
G0_0405,G0,0,M,60.716
G0_0406,G0,0,F,157.14
G0_0407,G0,0,M,-86.334
G0_0408,G0,0,F,-13.345
G0_0409,G0,0,F,-1.311
G0_0410,G0,0,M,-47.052
G0_0411,G0,0,F,175.845
G0_0412,G0,0,M,184.234
G0_0413,G0,0,M,244.649
G0_0414,G0,0,M,57.792
G0_0415,G0,0,F,-11.51
G0_0416,G0,0,F,-167.159
G0_0417,G0,0,M,-102.093
G0_0418,G0,0,F,27.85
G0_0419,G0,0,M,-3.945
G0_0420,G0,0,M,-106.173
G0_0421,G0,0,F,-75.902
G0_0422,G0,0,F,62.088
G0_0423,G0,0,F,20.137
G0_0424,G0,0,F,-54.41
G0_0425,G0,0,M,-60.283
G0_0426,G0,0,F,-17.711
G0_0427,G0,0,F,1.313
G0_0428,G0,0,F,51.259
G0_0429,G0,0,M,-126.028
G0_0430,G0,0,M,-1.705
G0_0431,G0,0,M,188.013
G0_0432,G0,0,M,-179.219
G0_0433,G0,0,M,88.633
G0_0434,G0,0,F,-1.84
G0_0435,G0,0,F,227.26
G0_0436,G0,0,M,92.266
G0_0437,G0,0,F,-120.102
G0_0438,G0,0,M,16.713
G0_0439,G0,0,M,-106.871
G0_0440,G0,0,F,69.935
G0_0441,G0,0,M,25.388
G0_0442,G0,0,M,84.171
G0_0443,G0,0,F,-81.274
G0_0444,G0,0,M,39.22
G0_0445,G0,0,F,-7.032
G0_0446,G0,0,F,-21.073
G0_0447,G0,0,M,26.204
G0_0448,G0,0,F,-64.457
G0_0449,G0,0,F,44.168
G0_0450,G0,0,F,-51.787
G0_0451,G0,0,M,104.225
G0_0452,G0,0,F,26.785
G0_0453,G0,0,M,-134.591
G0_0454,G0,0,F,87.185
G0_0455,G0,0,M,44.501
G0_0456,G0,0,F,-79.971
G0_0457,G0,0,F,-51.685
G0_0458,G0,0,M,-18.916
G0_0459,G0,0,M,-152.297
G0_0460,G0,0,M,0.43
G0_0461,G0,0,F,-74.38
G0_0462,G0,0,F,134.904
G0_0463,G0,0,M,-12.08
G0_0464,G0,0,F,-22.361
G0_0465,G0,0,M,29.361
G0_0466,G0,0,F,-94.906
G0_0467,G0,0,M,77.917
G0_0468,G0,0,M,47.121
G0_0469,G0,0,M,59.828
G0_0470,G0,0,M,-44.876
G0_0471,G0,0,M,185.89
G0_0472,G0,0,F,31.809
G0_0473,G0,0,M,166.158
G0_0474,G0,0,M,-163.746
G0_0475,G0,0,F,-109.619
G0_0476,G0,0,F,161.829
G0_0477,G0,0,F,21.864
G0_0478,G0,0,M,-121.738
G0_0479,G0,0,M,-61.527
G0_0480,G0,0,F,92.07
G0_0481,G0,0,F,-135.951
G0_0482,G0,0,M,-150.69
G0_0483,G0,0,M,195.1
G0_0484,G0,0,F,48.237
G0_0485,G0,0,M,18.234
G0_0486,G0,0,F,-44.078
G0_0487,G0,0,M,-123.508
G0_0488,G0,0,F,-31.697
G0_0489,G0,0,F,-161.625
G0_0490,G0,0,F,-96.758
G0_0491,G0,0,F,-154.667
G0_0492,G0,0,M,-52.214
G0_0493,G0,0,F,2.686
G0_0494,G0,0,M,-96.358
G0_0495,G0,0,M,-23.083
G0_0496,G0,0,M,81.259
G0_0497,G0,0,F,157.291
G0_0498,G0,0,M,40.481
G0_0499,G0,0,F,14.924
G0_0500,G0,0,M,44.703
G0_0501,G0,0,M,142.959
G0_0502,G0,0,F,194.99
G0_0503,G0,0,F,28.95
G0_0504,G0,0,M,124.891
G0_0505,G0,0,F,40.904
G0_0506,G0,0,F,7.047
G0_0507,G0,0,F,97.033
G0_0508,G0,0,F,-44.692
G0_0509,G0,0,M,212.233
G0_0510,G0,0,F,-9.758
G0_0511,G0,0,M,-113.032
G0_0512,G0,0,F,-136.82
G0_0513,G0,0,F,-71.575
G0_0514,G0,0,M,135.628
G0_0515,G0,0,F,-22.363
G0_0516,G0,0,F,104.092
G0_0517,G0,0,M,114.072
G0_0518,G0,0,M,144.957
G0_0519,G0,0,M,63.867
G0_0520,G0,0,F,87.251
G0_0521,G0,0,F,-27.333
G0_0522,G0,0,F,129.253
G0_0523,G0,0,M,87.942
G0_0524,G0,0,M,-110.178
G0_0525,G0,0,F,-82.477
G0_0526,G0,0,M,91.734
G0_0527,G0,0,M,0.071
G0_0528,G0,0,F,88.328
G0_0529,G0,0,M,95.731
G0_0530,G0,0,M,-172.269
G0_0531,G0,0,F,103.763
G0_0532,G0,0,M,-75.591
G0_0533,G0,0,M,-230.794
G0_0534,G0,0,M,17.675
G0_0535,G0,0,M,-139.627
G0_0536,G0,0,M,-5.884
G0_0537,G0,0,F,93.56
G0_0538,G0,0,M,10.529
G0_0539,G0,0,M,-264.008
G0_0540,G0,0,M,-158.799
G0_0541,G0,0,F,33.44
G0_0542,G0,0,F,-43.593
G0_0543,G0,0,M,45.108
G0_0544,G0,0,F,-212.565
G0_0545,G0,0,M,-119.684
G0_0546,G0,0,M,6.101
G0_0547,G0,0,M,0.69
G0_0548,G0,0,M,-45.55
G0_0549,G0,0,F,45.187
G0_0550,G0,0,F,-19.814
G0_0551,G0,0,M,26.603
G0_0552,G0,0,M,-40.712
G0_0553,G0,0,F,-95.546
G0_0554,G0,0,F,66.821
G0_0555,G0,0,M,156.297
G0_0556,G0,0,M,-12.977
G0_0557,G0,0,F,113.763
G0_0558,G0,0,F,-58.83
G0_0559,G0,0,M,-9.576
G0_0560,G0,0,F,20.817
G0_0561,G0,0,M,-89.669
G0_0562,G0,0,F,48.868
G0_0563,G0,0,M,-125.657
G0_0564,G0,0,M,-197.846
G0_0565,G0,0,M,19.141
G0_0566,G0,0,M,-26.076
G0_0567,G0,0,F,185.332
G0_0568,G0,0,F,-51.722
G0_0569,G0,0,M,5.459
G0_0570,G0,0,M,-154.635
G0_0571,G0,0,F,-36.339
G0_0572,G0,0,M,-97.879
G0_0573,G0,0,M,1.232
G0_0574,G0,0,F,155.449
G0_0575,G0,0,M,-125.407
G0_0576,G0,0,M,57.359
G0_0577,G0,0,F,103.983
G0_0578,G0,0,F,-25.056
G0_0579,G0,0,F,172.379
G0_0580,G0,0,F,89.284
G0_0581,G0,0,M,-177.888
G0_0582,G0,0,M,-95.968
G0_0583,G0,0,F,-87.636
G0_0584,G0,0,M,-34.037
G0_0585,G0,0,F,33.262
G0_0586,G0,0,F,5.515
G0_0587,G0,0,M,140.6
G0_0588,G0,0,M,-183.455
G0_0589,G0,0,M,122.209
G0_0590,G0,0,F,219.589
G0_0591,G0,0,M,-104.962
G0_0592,G0,0,F,-245.491
G0_0593,G0,0,M,-109.743
G0_0594,G0,0,F,84.478
G0_0595,G0,0,F,-8.251
G0_0596,G0,0,M,78.748
G0_0597,G0,0,F,-105.013
G0_0598,G0,0,F,53.86
G0_0599,G0,0,F,-0.325
G0_0600,G0,0,F,-6.463
G0_0601,G0,0,M,46.406
G0_0602,G0,0,F,-119.919
G0_0603,G0,0,M,-163.822
G0_0604,G0,0,M,-123.731
G0_0605,G0,0,M,36.538
G0_0606,G0,0,F,63.364
G0_0607,G0,0,M,7.822
G0_0608,G0,0,M,-86.944
G0_0609,G0,0,F,-136.403
G0_0610,G0,0,M,124.682
G0_0611,G0,0,M,17.822
G0_0612,G0,0,F,-131.061
G0_0613,G0,0,M,-173.13
G0_0614,G0,0,M,80.286
G0_0615,G0,0,F,79.043
G0_0616,G0,0,F,-135.998
G0_0617,G0,0,F,-53.3
G0_0618,G0,0,M,-4.668
G0_0619,G0,0,F,-203.349
G0_0620,G0,0,M,-63.033
G0_0621,G0,0,M,-75.48
G0_0622,G0,0,M,21.996
G0_0623,G0,0,M,-106.842
G0_0624,G0,0,F,46.226
G0_0625,G0,0,M,-208.501
G0_0626,G0,0,F,18.419
G0_0627,G0,0,F,-43.595
G0_0628,G0,0,M,70.297
G0_0629,G0,0,M,82.907
G0_0630,G0,0,M,5.365
G0_0631,G0,0,F,253.286
G0_0632,G0,0,F,-18.614
G0_0633,G0,0,F,107.646
G0_0634,G0,0,M,86.668
G0_0635,G0,0,M,-64.69
G0_0636,G0,0,M,78.205
G0_0637,G0,0,F,143.297
G0_0638,G0,0,F,-218.521
G0_0639,G0,0,F,20.679
G0_0640,G0,0,F,15.631
G0_0641,G0,0,M,-27.925
G0_0642,G0,0,M,4.65
G0_0643,G0,0,M,-150.075
G0_0644,G0,0,F,43.589
G0_0645,G0,0,F,24.39
G0_0646,G0,0,M,-62.661
G0_0647,G0,0,M,34.072
G0_0648,G0,0,F,-26.705
G0_0649,G0,0,F,9.43
G0_0650,G0,0,M,92.197
G0_0651,G0,0,F,-70.366
G0_0652,G0,0,M,-36.869
G0_0653,G0,0,F,101.495
G0_0654,G0,0,M,-114.075
G0_0655,G0,0,M,-94.044
G0_0656,G0,0,F,88.419
G0_0657,G0,0,M,101.543
G0_0658,G0,0,M,-115.886
G0_0659,G0,0,M,128.273
G0_0660,G0,0,M,30.986
G0_0661,G0,0,F,121.455
G0_0662,G0,0,M,-49.722
G0_0663,G0,0,F,118.654
G0_0664,G0,0,F,-25.936
G0_0665,G0,0,F,-197.863
G0_0666,G0,0,F,62.97
G0_0667,G0,0,F,57.939
G0_0668,G0,0,M,-176.04
G0_0669,G0,0,M,11.743
G0_0670,G0,0,M,116.308
G0_0671,G0,0,M,-46.797
G0_0672,G0,0,M,5.065
G0_0673,G0,0,F,70.828
G0_0674,G0,0,F,-71.813
G0_0675,G0,0,M,-7.417
G0_0676,G0,0,F,208.636
G0_0677,G0,0,M,-31.922
G0_0678,G0,0,F,-20.767
G0_0679,G0,0,F,-105.584
G0_0680,G0,0,M,-62.031
G0_0681,G0,0,M,-46.417
G0_0682,G0,0,M,-58.863
G0_0683,G0,0,F,-28.867
G0_0684,G0,0,M,-185.741
G0_0685,G0,0,M,162.265
G0_0686,G0,0,F,196.132
G0_0687,G0,0,F,96.124
G0_0688,G0,0,M,109.562
G0_0689,G0,0,M,-19.726
G0_0690,G0,0,M,-108.13
G0_0691,G0,0,F,-24.452
G0_0692,G0,0,F,-62.902
G0_0693,G0,0,M,41.389
G0_0694,G0,0,F,-35.13
G0_0695,G0,0,F,-86.542
G0_0696,G0,0,M,-21.723
G0_0697,G0,0,F,-11.237
G0_0698,G0,0,F,-83.655
G0_0699,G0,0,F,-71.921
G0_0700,G0,0,M,146.415
G0_0701,G0,0,F,-31.808
G0_0702,G0,0,M,10.235
G0_0703,G0,0,M,-72.341
G0_0704,G0,0,F,-19.416
G0_0705,G0,0,M,-51.019
G0_0706,G0,0,F,-28.225
G0_0707,G0,0,F,-125.445
G0_0708,G0,0,F,218.453
G0_0709,G0,0,F,52.603
G0_0710,G0,0,M,27.818
G0_0711,G0,0,F,-43.942
G0_0712,G0,0,F,-56.254
G0_0713,G0,0,F,98.163
G0_0714,G0,0,F,-75.607
G0_0715,G0,0,F,40.73
G0_0716,G0,0,M,-34.785
G0_0717,G0,0,F,-64.221
G0_0718,G0,0,M,-100.424
G0_0719,G0,0,M,44.785
G0_0720,G0,0,M,184.428
G0_0721,G0,0,M,1.278
G0_0722,G0,0,F,106.247
G0_0723,G0,0,M,-35.261
G0_0724,G0,0,F,-240.596
G0_0725,G0,0,M,82.071
G0_0726,G0,0,F,-143.857
G0_0727,G0,0,F,23.222
G0_0728,G0,0,M,-195.791
G0_0729,G0,0,M,209.275
G0_0730,G0,0,F,-24.393
G0_0731,G0,0,F,-59.681
G0_0732,G0,0,M,-4.038
G0_0733,G0,0,M,-127.4
G0_0734,G0,0,F,88.509
G0_0735,G0,0,F,110.066
G0_0736,G0,0,M,109.605
G0_0737,G0,0,F,-100.155
G0_0738,G0,0,F,46.117
G0_0739,G0,0,M,148.479
G0_0740,G0,0,F,-112.77
G0_0741,G0,0,F,10.73
G0_0742,G0,0,M,6.153
G0_0743,G0,0,M,57.047
G0_0744,G0,0,M,-42.798
G0_0745,G0,0,F,21.005
G0_0746,G0,0,F,177.561
G0_0747,G0,0,M,6.363
G0_0748,G0,0,M,59.078
G0_0749,G0,0,F,66.937
G0_0750,G0,0,F,-99.615
G0_0751,G0,0,M,23.581
G0_0752,G0,0,F,32.323
G0_0753,G0,0,M,-30.318
G0_0754,G0,0,M,-38.957
G0_0755,G0,0,F,64.027
G0_0756,G0,0,M,57.496
G0_0757,G0,0,M,36.796
G0_0758,G0,0,F,19.588
G0_0759,G0,0,F,-102.422
G0_0760,G0,0,F,25.06
G0_0761,G0,0,F,81.816
G0_0762,G0,0,F,113.657
G0_0763,G0,0,M,86.978
G0_0764,G0,0,F,-91.235
G0_0765,G0,0,M,-26.285
G0_0766,G0,0,M,49.964
G0_0767,G0,0,M,-7.382
G0_0768,G0,0,F,48.62
G0_0769,G0,0,M,212.25
G0_0770,G0,0,F,-56.665
G0_0771,G0,0,M,171.891
G0_0772,G0,0,F,66.326
G0_0773,G0,0,M,-82.145
G0_0774,G0,0,F,-130.246
G0_0775,G0,0,F,-65.735
G0_0776,G0,0,M,113.002
G0_0777,G0,0,F,-78.31
G0_0778,G0,0,M,94.525
G0_0779,G0,0,F,-1.906
G0_0780,G0,0,F,339.417
G0_0781,G0,0,M,134.679
G0_0782,G0,0,M,-25.47
G0_0783,G0,0,M,45.664
G0_0784,G0,0,F,-128.414
G0_0785,G0,0,M,-197.537
G0_0786,G0,0,M,-16.619
G0_0787,G0,0,F,-44.087
G0_0788,G0,0,F,-15.15
G0_0789,G0,0,M,-73.224
G0_0790,G0,0,F,-142.292
G0_0791,G0,0,M,-63.511
G0_0792,G0,0,F,73.624
G0_0793,G0,0,F,14.54
G0_0794,G0,0,M,32.559
G0_0795,G0,0,M,-158.92
G0_0796,G0,0,F,-49.068
G0_0797,G0,0,F,-49.411
G0_0798,G0,0,M,33.483
